filename,annot
lh.Yeo2011_17Networks_N1000.annot.ply,lh.Yeo2011_17Networks_N1000.annot
lh.white_roi.0001.ply,FreeSurfer_Defined_Medial_Wall
lh.white_roi.0002.ply,17Networks_1
lh.white_roi.0003.ply,17Networks_2
lh.white_roi.0004.ply,17Networks_3
lh.white_roi.0005.ply,17Networks_4
lh.white_roi.0006.ply,17Networks_5
lh.white_roi.0007.ply,17Networks_6
lh.white_roi.0008.ply,17Networks_7
lh.white_roi.0009.ply,17Networks_8
lh.white_roi.0010.ply,17Networks_9
lh.white_roi.0011.ply,17Networks_10
lh.white_roi.0012.ply,17Networks_11
lh.white_roi.0013.ply,17Networks_12
lh.white_roi.0014.ply,17Networks_13
lh.white_roi.0015.ply,17Networks_14
lh.white_roi.0016.ply,17Networks_15
lh.white_roi.0017.ply,17Networks_16
lh.white_roi.0018.ply,17Networks_17
