filename,annot
rh.Yeo2011_17Networks_N1000.annot.ply,rh.Yeo2011_17Networks_N1000.annot
rh.LCBC_roi.0001.ply,FreeSurfer_Defined_Medial_Wall
rh.LCBC_roi.0002.ply,17Networks_1
rh.LCBC_roi.0003.ply,17Networks_2
rh.LCBC_roi.0004.ply,17Networks_3
rh.LCBC_roi.0005.ply,17Networks_4
rh.LCBC_roi.0006.ply,17Networks_5
rh.LCBC_roi.0007.ply,17Networks_6
rh.LCBC_roi.0008.ply,17Networks_7
rh.LCBC_roi.0009.ply,17Networks_8
rh.LCBC_roi.0010.ply,17Networks_9
rh.LCBC_roi.0011.ply,17Networks_10
rh.LCBC_roi.0012.ply,17Networks_11
rh.LCBC_roi.0013.ply,17Networks_12
rh.LCBC_roi.0014.ply,17Networks_13
rh.LCBC_roi.0015.ply,17Networks_14
rh.LCBC_roi.0016.ply,17Networks_15
rh.LCBC_roi.0017.ply,17Networks_16
rh.LCBC_roi.0018.ply,17Networks_17
