filename,annot
lh.aparc.a2009s.annot.ply,lh.aparc.a2009s.annot
lh.LCBC_roi.0001.ply,G_and_S_frontomargin
lh.LCBC_roi.0002.ply,G_and_S_occipital_inf
lh.LCBC_roi.0003.ply,G_and_S_paracentral
lh.LCBC_roi.0004.ply,G_and_S_subcentral
lh.LCBC_roi.0005.ply,G_and_S_transv_frontopol
lh.LCBC_roi.0006.ply,G_and_S_cingul-Ant
lh.LCBC_roi.0007.ply,G_and_S_cingul-Mid-Ant
lh.LCBC_roi.0008.ply,G_and_S_cingul-Mid-Post
lh.LCBC_roi.0009.ply,G_cingul-Post-dorsal
lh.LCBC_roi.0010.ply,G_cingul-Post-ventral
lh.LCBC_roi.0011.ply,G_cuneus
lh.LCBC_roi.0012.ply,G_front_inf-Opercular
lh.LCBC_roi.0013.ply,G_front_inf-Orbital
lh.LCBC_roi.0014.ply,G_front_inf-Triangul
lh.LCBC_roi.0015.ply,G_front_middle
lh.LCBC_roi.0016.ply,G_front_sup
lh.LCBC_roi.0017.ply,G_Ins_lg_and_S_cent_ins
lh.LCBC_roi.0018.ply,G_insular_short
lh.LCBC_roi.0019.ply,G_occipital_middle
lh.LCBC_roi.0020.ply,G_occipital_sup
lh.LCBC_roi.0021.ply,G_oc-temp_lat-fusifor
lh.LCBC_roi.0022.ply,G_oc-temp_med-Lingual
lh.LCBC_roi.0023.ply,G_oc-temp_med-Parahip
lh.LCBC_roi.0024.ply,G_orbital
lh.LCBC_roi.0025.ply,G_pariet_inf-Angular
lh.LCBC_roi.0026.ply,G_pariet_inf-Supramar
lh.LCBC_roi.0027.ply,G_parietal_sup
lh.LCBC_roi.0028.ply,G_postcentral
lh.LCBC_roi.0029.ply,G_precentral
lh.LCBC_roi.0030.ply,G_precuneus
lh.LCBC_roi.0031.ply,G_rectus
lh.LCBC_roi.0032.ply,G_subcallosal
lh.LCBC_roi.0033.ply,G_temp_sup-G_T_transv
lh.LCBC_roi.0034.ply,G_temp_sup-Lateral
lh.LCBC_roi.0035.ply,G_temp_sup-Plan_polar
lh.LCBC_roi.0036.ply,G_temp_sup-Plan_tempo
lh.LCBC_roi.0037.ply,G_temporal_inf
lh.LCBC_roi.0038.ply,G_temporal_middle
lh.LCBC_roi.0039.ply,Lat_Fis-ant-Horizont
lh.LCBC_roi.0040.ply,Lat_Fis-ant-Vertical
lh.LCBC_roi.0041.ply,Lat_Fis-post
lh.LCBC_roi.0042.ply,Medial_wall
lh.LCBC_roi.0043.ply,Pole_occipital
lh.LCBC_roi.0044.ply,Pole_temporal
lh.LCBC_roi.0045.ply,S_calcarine
lh.LCBC_roi.0046.ply,S_central
lh.LCBC_roi.0047.ply,S_cingul-Marginalis
lh.LCBC_roi.0048.ply,S_circular_insula_ant
lh.LCBC_roi.0049.ply,S_circular_insula_inf
lh.LCBC_roi.0050.ply,S_circular_insula_sup
lh.LCBC_roi.0051.ply,S_collat_transv_ant
lh.LCBC_roi.0052.ply,S_collat_transv_post
lh.LCBC_roi.0053.ply,S_front_inf
lh.LCBC_roi.0054.ply,S_front_middle
lh.LCBC_roi.0055.ply,S_front_sup
lh.LCBC_roi.0056.ply,S_interm_prim-Jensen
lh.LCBC_roi.0057.ply,S_intrapariet_and_P_trans
lh.LCBC_roi.0058.ply,S_oc_middle_and_Lunatus
lh.LCBC_roi.0059.ply,S_oc_sup_and_transversal
lh.LCBC_roi.0060.ply,S_occipital_ant
lh.LCBC_roi.0061.ply,S_oc-temp_lat
lh.LCBC_roi.0062.ply,S_oc-temp_med_and_Lingual
lh.LCBC_roi.0063.ply,S_orbital_lateral
lh.LCBC_roi.0064.ply,S_orbital_med-olfact
lh.LCBC_roi.0065.ply,S_orbital-H_Shaped
lh.LCBC_roi.0066.ply,S_parieto_occipital
lh.LCBC_roi.0067.ply,S_pericallosal
lh.LCBC_roi.0068.ply,S_postcentral
lh.LCBC_roi.0069.ply,S_precentral-inf-part
lh.LCBC_roi.0070.ply,S_precentral-sup-part
lh.LCBC_roi.0071.ply,S_suborbital
lh.LCBC_roi.0072.ply,S_subparietal
lh.LCBC_roi.0073.ply,S_temporal_inf
lh.LCBC_roi.0074.ply,S_temporal_sup
lh.LCBC_roi.0075.ply,S_temporal_transverse
